municipio,cod_ibge,classificacao_epidemiologica,infectados,recuperados,obitos,r_025,r_500,r_975,r_mm7,n_va,p_va
Acorizal,5100102,0,0,12,1,0.436890627,1.256971617,2.756077371,1.763295091,-0.114285714,-0.114285714
Agua Boa,5100201,0,3,6,1,0.605639706,1.742477117,3.820612724,1.55235288,0.857142857,0.857142857
Alta Floresta,5100250,1,65,31,3,1.074315942,1.41015809,1.809652819,2.103241079,20.16462585,20.16462585
Alto Araguaia,5100300,0,2,8,2,0.429263756,1.855388554,5.012827397,1.759640803,-0.285714286,-0.285714286
Alto Boa Vista,5100359,0,18,0,1,0.701130071,1.201180662,1.896707054,3.003510284,,
Alto Garcas,5100409,0,6,1,0,,,,,,
Alto Paraguai,5100508,0,1,1,0,,,,,,
Alto Taquari,5100607,0,0,0,0,,,,,,
Apiacas,5100805,0,0,0,0,,,,,,
Araguaia,5101001,0,0,0,0,,,,,,
Araguainha,5101209,0,0,0,0,,,,,,
Araputanga,5101258,0,9,0,0,,,,,,
Arepolis,5101308,0,9,4,0,0.432730094,1.025508302,2.007995171,1.551484258,,
Aripua,5101407,0,4,35,1,0.211589966,0.608762389,1.334792466,0.778673017,-0.493459808,-0.493459808
Barao de Melgaco,5101605,0,0,0,0,,,,,,
Barra do Bugres,5101704,0,7,0,1,,,,,,
Barra do Garcas,5101803,1,51,52,7,0.798997537,1.323265485,2.038596972,0.978657871,0.202487311,0.202487311
Bom Jesus do Araguaia,5101852,0,15,4,0,0.834705508,1.490587205,2.424353664,1.904508435,,
Brasnorte,5101902,0,2,0,0,,,,,,
Caceres,5102504,1,28,33,5,0.912096454,1.403829742,2.047025446,1.328959443,0.661264926,0.661264926
Campipolis,5102603,0,4,0,0,,,,,,
Campo Novo do Parecis,5102637,0,37,23,0,0.905302988,1.318103495,1.840730029,1.405093396,0.701526252,0.701526252
Campo Verde,5102678,1,60,76,0,0.927425232,1.211422371,1.548239485,1.24587225,0.51141209,0.51141209
Campos de Julio,5102686,0,9,6,0,0.41456072,1.067547226,2.196850341,0.981439072,,
Cabrava do Norte,5102694,0,0,0,0,,,,,,
Cara,5102702,0,13,15,0,0.80180058,1.508843968,2.545097774,1.161469672,-0.059096459,-0.059096459
Carlinda,5102793,0,0,0,0,,,,,,
Castanheira,5102850,0,0,0,0,,,,,,
Chapada Dos Guimaraes,5103007,0,0,0,0,,,,,,
Claudia,5103056,0,3,0,0,,,,,,
Cocalinho,5103106,0,0,0,0,,,,,,
Colider,5103205,0,22,7,2,0.963796062,1.551638754,2.340818236,1.651034365,,
Colniza,5103254,0,2,0,0,,,,,,
Comodoro,5103304,0,3,3,1,,,,,,
Confresa,5103353,1,73,117,3,0.701706133,0.923409695,1.187542524,1.084016273,0.218562174,0.218562174
Conquista D'Oeste,5103361,0,0,0,0,,,,,,
Cotriguacu,5103379,0,4,3,1,,,,,,
Cuiaba,5103403,1,1363,402,59,1.143855629,1.239420053,1.340164725,1.211824088,0.615419012,0.615419012
Curvelandia,5103437,0,2,3,1,,,,,,
Denise,5103452,0,2,2,0,,,,,,
Diamantino,5103502,0,8,0,1,,,,,,
Dom Aquino,5103601,0,4,6,1,-999,-999,-999,-999,,
Feliz tal,5103700,0,9,0,0,,,,,,
Figueiropolis D'Oeste,5103809,0,0,0,0,,,,,,
Gaucha do Norte,5103858,0,1,0,0,,,,,,
General Carneiro,5103908,0,1,0,0,,,,,,
Gloria D'Oeste,5103957,0,0,0,0,,,,,,
Guaranta do Norte,5104104,1,36,17,0,0.443092721,0.745764953,1.16254974,1.190901857,1.158506982,1.158506982
